Year,Nivel,Programa,Becas_Hombres,Becas_Mujeres
2014,Maestria,Biologia,14,17
2014,Maestria,Ciencias Ambientales,14,16
2014,Maestria,Control y Sistemas Dinamicos,7,5
2014,Maestria,Geociencias Aplicadas,15,8
2014,Maestria,Nanociencias y Materiales,6,6
2014,Doctorado,Biologia,13,19
2014,Doctorado,Ciencias Ambientales,9,7
2014,Doctorado,Control y Sistemas Dinamicos,14,7
2014,Doctorado,Geociencias Aplicadas,5,6
2014,Doctorado,Nanociencias y Materiales,9,6
2015,Maestria,Biologia,8,10
2015,Maestria,Ciencias Ambientales,20,15
2015,Maestria,Control y Sistemas Dinamicos,11,8
2015,Maestria,Geociencias Aplicadas,15,8
2015,Maestria,Nanociencias y Materiales,13,8
2015,Doctorado,Biologia,7,13
2015,Doctorado,Ciencias Ambientales,18,22
2015,Doctorado,Control y Sistemas Dinamicos,8,10
2015,Doctorado,Geociencias Aplicadas,19,20
2015,Doctorado,Nanociencias y Materiales,26,11
2016,Maestria,Biologia,10,15
2016,Maestria,Ciencias Ambientales,25,28
2016,Maestria,Control y Sistemas Dinamicos,13,3
2016,Maestria,Geociencias Aplicadas,11,9
2016,Maestria,Nanociencias y Materiales,9,8
2016,Doctorado,Biologia,20,18
2016,Doctorado,Ciencias Ambientales,19,12
2016,Doctorado,Control y Sistemas Dinamicos,11,5
2016,Doctorado,Geociencias Aplicadas,19,10
2016,Doctorado,Nanociencias y Materiales,16,15
2017,Maestria,Biologia,3,5
2017,Maestria,Ciencias Ambientales,4,7
2017,Maestria,Control y Sistemas Dinamicos,2,0
2017,Maestria,Geociencias Aplicadas,7,6
2017,Maestria,Nanociencias y Materiales,7,4
2017,Doctorado,Biologia,7,10
2017,Doctorado,Ciencias Ambientales,11,9
2017,Doctorado,Control y Sistemas Dinamicos,6,3
2017,Doctorado,Geociencias Aplicadas,10,5
2017,Doctorado,Nanociencias y Materiales,15,13
2018,Maestria,Biologia,3,2
2018,Maestria,Ciencias Ambientales,2,5
2018,Maestria,Control y Sistemas Dinamicos,1,1
2018,Maestria,Geociencias Aplicadas,4,2
2018,Maestria,Nanociencias y Materiales,8,6
2018,Doctorado,Biologia,5,7
2018,Doctorado,Ciencias Ambientales,8,8
2018,Doctorado,Control y Sistemas Dinamicos,13,2
2018,Doctorado,Geociencias Aplicadas,12,5
2018,Doctorado,Nanociencias y Materiales,17,11
2019,Maestria,Biologia,7,4
2019,Maestria,Ciencias Ambientales,1,5
2019,Maestria,Control y Sistemas Dinamicos,2,0
2019,Maestria,Geociencias Aplicadas,7,4
2019,Maestria,Nanociencias y Materiales,1,8
2019,Doctorado,Biologia,7,13
2019,Doctorado,Ciencias Ambientales,12,9
2019,Doctorado,Control y Sistemas Dinamicos,7,1
2019,Doctorado,Geociencias Aplicadas,8,8
2019,Doctorado,Nanociencias y Materiales,18,16
2020,Maestria,Biologia,0,2
2020,Maestria,Ciencias Ambientales,2,3
2020,Maestria,Control y Sistemas Dinamicos,0,0
2020,Maestria,Geociencias Aplicadas,3,2
2020,Maestria,Nanociencias y Materiales,7,6
2020,Doctorado,Biologia,5,14
2020,Doctorado,Ciencias Ambientales,5,10
2020,Doctorado,Control y Sistemas Dinamicos,3,0
2020,Doctorado,Geociencias Aplicadas,3,3
2020,Doctorado,Nanociencias y Materiales,9,8
2021,Maestria,Biologia,2,2
2021,Maestria,Ciencias Ambientales,6,10
2021,Maestria,Control y Sistemas Dinamicos,1,0
2021,Maestria,Geociencias Aplicadas,1,5
2021,Maestria,Nanociencias y Materiales,3,7
2021,Doctorado,Biologia,5,16
2021,Doctorado,Ciencias Ambientales,13,24
2021,Doctorado,Control y Sistemas Dinamicos,6,1
2021,Doctorado,Geociencias Aplicadas,5,5
2021,Doctorado,Nanociencias y Materiales,22,17
